% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
17.965	3	1	1797	6	1	28	2292
17.975	3	1	1798	6	1	28	2292
17.985	3	1	1799	6	1	28	2292
17.995	3	1	1800	6	1	28	2292
18.005	3	1	1801	6	1	28	2292
18.015	3	1	1802	6	1	28	2292
18.025	3	1	1803	6	1	28	2292
18.035	3	1	1804	6	1	28	2292
18.045	3	1	1805	6	1	28	2292
18.055	3	1	1806	6	1	28	2292
18.065	3	1	1807	6	1	28	2292
18.075	3	1	1808	6	1	28	2292
18.085	3	1	1809	6	1	28	2292
18.095	3	1	1810	6	1	28	2292
18.105	3	1	1811	6	1	28	2292
18.115	3	1	1812	6	1	28	2292
18.125	3	1	1813	6	1	28	2292
18.135	3	1	1814	6	1	28	2292
18.145	3	1	1815	6	1	28	2292
18.155	3	1	1816	6	1	28	2292
18.165	3	1	1817	6	1	28	2292
18.175	3	1	1818	6	1	28	2292
18.185	3	1	1819	6	1	28	2292
18.195	3	1	1820	6	1	28	2292
18.205	3	1	1821	6	1	28	2292
18.215	3	1	1822	6	1	28	2292
18.225	3	1	1823	6	1	28	2292
18.235	3	1	1824	6	1	28	2292
18.245	3	1	1825	6	1	28	2292
18.255	3	1	1826	6	1	28	2292
18.265	3	1	1827	6	1	28	2292
18.275	3	1	1828	6	1	28	2292
18.285	3	1	1829	6	1	28	2292
18.295	3	1	1830	6	1	28	2292
18.305	3	1	1831	6	1	28	2292
18.315	3	1	1832	6	1	28	2292
18.325	3	1	1833	6	1	28	2292
18.335	3	1	1834	6	1	28	2292
18.345	3	1	1835	6	1	28	2292
18.355	3	1	1836	6	1	28	2292
18.365	3	1	1837	6	1	28	2292
18.375	3	1	1838	6	1	28	2292
18.385	3	1	1839	6	1	28	2292
18.395	3	1	1840	6	1	28	2292
18.405	3	1	1841	6	1	28	2292
18.415	3	1	1842	6	1	28	2292
18.425	3	1	1843	6	1	28	2292
18.435	3	1	1844	6	1	28	2292
18.445	3	1	1845	6	1	28	2292
18.455	3	1	1846	6	1	28	2292
18.465	3	1	1847	6	1	28	2292
18.475	3	1	1848	6	1	28	2292
18.485	3	1	1849	6	1	28	2292
18.495	3	1	1850	6	1	28	2292
18.505	3	1	1851	6	1	28	2292
18.515	3	1	1852	6	1	28	2292
18.525	3	1	1853	6	1	28	2292
18.535	3	1	1854	6	1	28	2292
18.545	3	1	1855	6	1	28	2292
18.555	3	1	1856	6	1	28	2292
18.565	3	1	1857	6	1	28	2292
18.575	3	1	1858	6	1	28	2292
18.585	3	1	1859	6	1	28	2292
18.595	3	1	1860	6	1	28	2292
18.605	3	1	1861	6	1	28	2292
18.615	3	1	1862	6	1	28	2292
18.625	3	1	1863	6	1	28	2292
18.635	3	1	1864	6	1	28	2292
18.645	3	1	1865	6	1	28	2292
18.655	3	1	1866	6	1	28	2292
18.665	3	1	1867	6	1	28	2292
18.675	3	1	1868	6	1	28	2292
18.685	3	1	1869	6	1	28	2292
18.695	3	1	1870	6	1	28	2292
18.705	3	1	1871	6	1	28	2292
18.715	3	1	1872	6	1	28	2292
18.725	3	1	1873	6	1	28	2292
18.735	3	1	1874	6	1	28	2292
18.745	3	1	1875	6	1	28	2292
18.755	3	1	1876	6	1	28	2292
18.765	3	1	1877	6	1	28	2292
18.775	3	1	1878	6	1	28	2292
18.785	3	1	1879	6	1	28	2292
18.795	3	1	1880	6	1	28	2292
18.805	3	1	1881	6	1	28	2292
18.815	3	1	1882	6	1	28	2292
18.825	3	1	1883	6	1	28	2292
18.835	3	1	1884	6	1	28	2292
18.845	3	1	1885	6	1	28	2292
18.855	3	1	1886	6	1	28	2292
18.865	3	1	1887	6	1	28	2292
18.875	3	1	1888	6	1	28	2292
18.885	3	1	1889	6	1	28	2292
18.895	3	1	1890	6	1	28	2292
18.905	3	1	1891	6	1	28	2292
18.915	3	1	1892	6	1	28	2292
18.925	3	1	1893	6	1	28	2292
18.935	3	1	1894	6	1	28	2292
18.945	3	1	1895	6	1	28	2292
18.955	3	1	1896	6	1	28	2292
18.965	3	1	1897	6	1	28	2292
18.975	3	1	1898	6	1	28	2292
18.985	3	1	1899	6	1	28	2292
18.995	3	1	1900	6	1	28	2292
19.015	4	1	1902	6	1	0	85
19.016	4	1	1902	7	1	0	85
19.017	4	1	1902	8	1	0	85
19.018	4	1	1902	9	1	0	85
19.019	4	1	1902	10	1	0	85
19.02	4	1	1903	1	1	0	85
19.021	4	1	1903	2	1	0	85
19.022	4	1	1903	3	1	28	2292
19.025	4	1	1903	6	1	28	2292
19.035	4	1	1904	6	1	28	2292
19.045	4	1	1905	6	1	28	2292
19.055	4	1	1906	6	1	28	2292
19.065	4	1	1907	6	1	28	2292
19.075	4	1	1908	6	1	28	2292
19.085	4	1	1909	6	1	28	2292
19.095	4	1	1910	6	1	28	2292
19.105	4	1	1911	6	1	28	2292
19.115	4	1	1912	6	1	28	2292
19.125	4	1	1913	6	1	28	2292
19.135	4	1	1914	6	1	28	2292
19.145	4	1	1915	6	1	28	2292
19.155	4	1	1916	6	1	28	2292
19.165	4	1	1917	6	1	28	2292
19.175	4	1	1918	6	1	28	2292
19.185	4	1	1919	6	1	28	2292
19.195	4	1	1920	6	1	28	2292
19.205	4	1	1921	6	1	28	2292
19.215	4	1	1922	6	1	28	2292
19.225	4	1	1923	6	1	28	2292
19.235	4	1	1924	6	1	28	2292
19.245	4	1	1925	6	1	28	2292
19.255	4	1	1926	6	1	28	2292
19.265	4	1	1927	6	1	28	2292
19.275	4	1	1928	6	1	28	2292
19.285	4	1	1929	6	1	28	2292
19.295	4	1	1930	6	1	28	2292
